,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Alabama,1104.969636803416,0.0,160.40499603713258,0.0,-0.0,192.00147273672457,0.0,-0.0,-0.0,-0.0,0.0,0.0,42.3765103319807,-0.0,185.21305719735963,0.0,0.0,0.0,-0.0,84.754432148395,0.0,0.0,0.0,0.0,0.0,53.23046325279161,70.12427940498249,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,76.61563665270823,0.0,0.0,-0.0,0.0,0.0,33.1853250884643,24.706427457229374,0.0,0.0,35.5068169641399,-0.0,173.43210404826021,0.0
Alaska,0.0,603.0096923412937,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,150.10960153088382,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,46.80461623473526,0.0,-0.0,-0.0,-0.0,-0.0,0.0,25.20079547843756,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arizona,160.40499603713258,0.0,2853.401834470083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
Arkansas,0.0,0.0,0.0,1088.5547766875875,0.0,0.0,0.0,0.0,137.66984818856753,0.0,0.0,0.0,26.803266963134313,0.0,0.0,0.0,0.0,0.0,0.0,72.19699606786972,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,27.706511652778538,0.0,6.219606438759433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5739960112528,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
California,-0.0,-0.0,0.0,0.0,1248.2464713134898,54.42718835780829,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,57.46467201090091,0.0,88.5252799346694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.37758267350162,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,68.47882100725548,0.0,0.0,0.0,0.0,0.0,185.60672888634642,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
Colorado,192.00147273672457,0.0,0.0,0.0,54.42718835780829,2074.8585889986102,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,94.90401537809666,0.0,-0.0
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0,2453.4226179774064,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Delaware,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,854.9670185429331,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,-0.0,-0.0,0.0,137.66984818856753,-0.0,0.0,0.0,-0.0,530.6576453648885,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,34.4095694092624,0.0,54.87135323289327,-0.0,0.0,-0.0,-0.0,0.0,32.73522829075133,-0.0,97.25950923287645,35.99008512482288,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,48.79829673616531,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,21.633509593902453,-0.0,-0.0,77.5457739774263,121.00483181539497,54.22269393546774
Florida,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,2849.341665684487,0.0,0.0,0.0,-0.0,0.0,0.0,153.7170624147351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.47892357016676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
