state,Poll_Closing
Alabama,8
Alaska,13
Arizona,9
Arkansas,8.5
California,10
Colorado,9
Connecticut,8
Delaware,8
Washington DC,8
Florida,8
Georgia,7
Hawaii,10
Idaho,10
Illinois,8
Indiana,7
Iowa,10
Kansas,9
Kentucky,7
Louisiana,9
Maine,8
Maryland,8
Massachusetts,8
Michigan,9
Minnesota,9
Mississippi,8
Missouri,8
Montana,10
Nebraska,9
Nevada,10
New Hampshire,8
New Jersey,8
New Mexico,9
New York,9
North Carolina,7.5
North Dakota,9
Ohio,7.5
Oklahoma,8
Oregon,10
Pennsylvania,8
Rhode Island,8
South Carolina,7
South Dakota,9
Tennessee,8
Texas,9
Utah,10
Vermont,7
Virginia,7
Washington,10
West Virginia,7.5
Wisconsin,9
Wyoming,9
